,bench,buffer_KB,ctc100,cxx,dnn_name,fx,global_cycles,hxx,mac_utilization,pw1_engines,total_energy,total_mac_units,wxx
73,FCHWSchedule,12.25,1.55,1.0,pw1,3.0,45474048.0,56.0,0.0,100.0,1013664533.76,4900.0,56.0
74,FCHWSchedule,119.57,6.22,4.0,pw1,35.0,333912.0,56.0,0.0,100.0,234394460.16,4900.0,56.0
75,FCHWSchedule,479.94,20.73,16.0,pw1,140.0,19343.0,56.0,1.34,100.0,182928768.0,4900.0,56.0
76,FCHWSchedule,460.22,9.33,6.0,pw1,144.0,32976.0,56.0,1.0,100.0,190342272.0,4900.0,56.0
77,FCHWSchedule,45.99,12.44,8.0,pw1,7.0,397845.0,56.0,0.05,100.0,465007703.04,4900.0,56.0
78,FCHWSchedule,454.34,12.44,8.0,pw1,140.0,38688.0,56.0,1.0,100.0,198451968.0,4900.0,56.0
79,FCHWSchedule,162.5,6.22,4.0,pw1,49.0,201582.0,56.0,0.33,100.0,222916700.16,4900.0,56.0
80,FCHWSchedule,6.13,1.55,1.0,pw1,1.0,136422144.0,56.0,0.0,100.0,2588789525.76,4900.0,56.0
81,FCHWSchedule,27.57,12.42,8.0,pw1,1.0,2728080.0,56.0,0.0,100.0,2483118869.76,4900.0,56.0
82,FCHWSchedule,82.76,0.81,32.0,pw1,3.0,151536.0,56.0,1.0,100.0,196150702.07999998,4900.0,56.0
83,FCHWSchedule,466.62,12.44,8.0,pw1,144.0,19785.0,56.0,1.0,100.0,182044416.0,4900.0,56.0
84,FCHWSchedule,505.53,19.08,32.0,pw1,140.0,6447.0,56.0,2.5,100.0,151788288.0,4900.0,56.0
85,FCHWSchedule,110.28,1.56,1.0,pw1,35.0,4770480.0,56.0,0.0,100.0,392829527.03999996,4900.0,56.0
86,FCHWSchedule,156.73,20.74,16.0,pw1,35.0,47696.0,56.0,1.53,100.0,210644736.0,4900.0,56.0
87,FCHWSchedule,24.51,1.56,1.0,pw1,7.0,19894896.0,56.0,0.0,100.0,570660629.76,4900.0,56.0
88,FCHWSchedule,438.35,4.66,3.0,pw1,140.0,232148.0,56.0,0.0,100.0,271462456.32,4900.0,56.0
89,FCHWSchedule,39.85,9.33,6.0,pw1,7.0,663096.0,56.0,0.0,100.0,462298199.04,4900.0,56.0
