,bench,buffer_KB,ctc100,cxx,dnn_name,fx,global_cycles,hxx,mac_utilization,pw1_engines,total_energy,total_mac_units,wxx
72,FCHWSchedule,82.81,9.28,6.0,conv1,21.0,836440.0,56.0,0.74,100.0,264542945.28,4900.0,56.0
73,FCHWSchedule,15.32,3.11,2.0,conv1,3.0,36682624.0,56.0,0.0,100.0,1084570460.1599998,4900.0,56.0
74,FCHWSchedule,15.32,6.21,4.0,conv1,1.0,27486208.0,56.0,0.0,100.0,2883681116.16,4900.0,56.0
75,FCHWSchedule,205.38,4.65,3.0,conv1,70.0,814891.0,56.0,0.0,100.0,207548866.56,4900.0,56.0
76,FCHWSchedule,6.13,1.55,1.0,conv1,1.0,420388864.0,56.0,0.0,100.0,2999286620.16,4900.0,56.0
77,FCHWSchedule,122.67,7.75,5.0,conv1,35.0,579826.0,56.0,0.99,100.0,184919490.56,4900.0,56.0
78,FCHWSchedule,219.87,12.64,64.0,conv1,7.0,29632.0,56.0,1.2,100.0,443419136.0,4900.0,56.0
79,FCHWSchedule,240.25,30.93,16.0,conv1,70.0,30006.0,56.0,19.0,100.0,316356416.0,4900.0,56.0
80,FCHWSchedule,298.25,61.87,32.0,conv1,70.0,9001.0,56.0,38.0,100.0,310074560.0,4900.0,56.0
81,FCHWSchedule,217.88,10.7,7.0,conv1,144.0,177145.0,56.0,0.98,100.0,144439173.12,4900.0,56.0
82,FCHWSchedule,57.96,26.92,16.0,conv1,3.0,646272.0,56.0,8.73,100.0,1356622131.2,4900.0,56.0
83,FCHWSchedule,171.83,10.71,7.0,conv1,49.0,350440.0,56.0,0.98,100.0,188192645.12,4900.0,56.0
84,FCHWSchedule,214.75,9.27,6.0,conv1,140.0,212575.0,56.0,1.0,100.0,149707653.12,4900.0,56.0
85,FCHWSchedule,67.4,1.55,1.0,conv1,21.0,26361664.0,56.0,0.0,100.0,471928504.32,4900.0,56.0
86,FCHWSchedule,21.44,9.27,6.0,conv1,1.0,13338688.0,56.0,0.0,100.0,2871638876.16,4900.0,56.0
87,FCHWSchedule,24.51,1.56,1.0,conv1,7.0,65685760.0,56.0,0.0,100.0,636599132.16,4900.0,56.0
88,FCHWSchedule,202.25,3.11,2.0,conv1,70.0,1700656.0,56.0,0.0,100.0,260177633.28,4900.0,56.0
89,FCHWSchedule,199.12,1.55,1.0,conv1,140.0,6699616.0,56.0,0.0,100.0,428740976.64,4900.0,56.0
90,FCHWSchedule,414.25,123.73,64.0,conv1,140.0,3712.0,56.0,75.0,100.0,317651840.0,4900.0,56.0
91,FCHWSchedule,298.25,61.87,32.0,conv1,140.0,9001.0,56.0,38.0,100.0,310074560.0,4900.0,56.0
92,FCHWSchedule,298.25,61.87,32.0,conv1,144.0,9001.0,56.0,38.0,100.0,310074560.0,4900.0,56.0
93,FCHWSchedule,30.65,4.65,3.0,conv1,7.0,7989520.0,56.0,0.0,100.0,535451320.32,4900.0,56.0
94,FCHWSchedule,217.88,10.7,7.0,conv1,140.0,177145.0,56.0,0.98,100.0,144439173.12,4900.0,56.0
95,FCHWSchedule,27.42,13.39,8.0,conv1,1.0,6768640.0,56.0,1.0,100.0,3341671116.8,4900.0,56.0
96,FCHWSchedule,211.25,15.47,8.0,conv1,140.0,108028.0,56.0,9.0,100.0,333608000.0,4900.0,56.0
97,FCHWSchedule,24.51,10.7,7.0,conv1,1.0,11115520.0,56.0,0.0,100.0,2869230428.16,4900.0,56.0
98,FCHWSchedule,44.93,13.59,8.0,conv1,7.0,1057600.0,56.0,0.1,100.0,734265651.2,4900.0,56.0
