,DRAM,RF,SRAM,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,global_cycles,hxx,mac_utilization,pw1_engines,pw2_engines,total_energy,total_mac_units,wxx
41,10160340800.0,4294892416.32,5766629782.84,HWCF_SchedulePDP_hwcf,736.48,32.1,224.0,56.0,84.0,xception,2.0,112.0,42.0,1571759.5,18.0,33.2,8.0,6.0,20221862999.16,784.0,18.0
42,8597668800.0,3597380751.36,8691581883.68,HWCF_SchedulePDP_hwcf,1577.43,29.61,112.0,112.0,84.0,xception,2.0,56.0,42.0,1455679.4375,56.0,43.15,8.0,6.0,20886631435.04,784.0,56.0
43,9654454400.0,3966363433.92,7473994164.62,HWCF_SchedulePDP_hwcf,953.54,27.95,224.0,56.0,42.0,xception,2.0,112.0,84.0,1703570.03125,27.0,8.69,8.0,6.0,21094811998.54,784.0,27.0
44,24381592000.0,7030823831.04,2825258304.0,HWCF_SchedulePDP_hwcf,239.26,40.61,224.0,56.0,42.0,xception,2.0,112.0,84.0,3137110.03125,9.0,10.83,8.0,6.0,34237674135.04,784.0,9.0
45,8760161600.0,3503931343.68,7450062198.02,HWCF_SchedulePDP_hwcf,1217.98,26.77,224.0,56.0,42.0,xception,2.0,112.0,84.0,1588801.15625,45.0,7.94,8.0,6.0,19714155141.7,784.0,45.0
46,9654454400.0,4104549769.92,7016731764.54,HWCF_SchedulePDP_hwcf,1066.74,30.55,224.0,56.0,84.0,xception,2.0,112.0,42.0,1565881.375,27.0,32.51,8.0,6.0,20775735934.46,784.0,27.0
47,10160340800.0,4166291008.32,5889126242.0,HWCF_SchedulePDP_hwcf,686.77,29.05,224.0,56.0,42.0,xception,2.0,112.0,84.0,1738483.90625,18.0,9.91,8.0,6.0,20215758050.32,784.0,18.0
48,8580962400.0,3401613499.68,8703779732.72,HWCF_SchedulePDP_hwcf,2194.74,28.1,224.0,56.0,84.0,xception,2.0,112.0,42.0,1533990.625,112.0,31.59,8.0,6.0,20686355632.4,784.0,112.0
49,10160340800.0,4437081642.24,5381180346.68,HWCF_SchedulePDP_hwcf,797.4,33.74,112.0,112.0,84.0,xception,2.0,56.0,42.0,1536143.0625,18.0,44.08,8.0,6.0,19978602788.92,784.0,18.0
50,8597668800.0,3573072414.72,7178690962.34,HWCF_SchedulePDP_hwcf,1455.66,27.96,112.0,112.0,42.0,xception,2.0,56.0,84.0,1536206.75,56.0,21.47,8.0,6.0,19349432177.06,784.0,56.0
51,9654454400.0,4251461241.6,8616426478.24,HWCF_SchedulePDP_hwcf,1212.32,32.04,112.0,112.0,84.0,xception,2.0,56.0,42.0,1529482.6875,27.0,43.46,8.0,6.0,22522342119.839996,784.0,27.0
52,8842420800.0,3810352907.52,7078941373.04,HWCF_SchedulePDP_hwcf,1232.24,28.48,112.0,112.0,42.0,xception,2.0,56.0,84.0,1549107.0,36.0,21.9,8.0,6.0,19731715080.56,784.0,36.0
53,8842420800.0,3719439836.16,6980685924.56,HWCF_SchedulePDP_hwcf,1190.88,28.97,224.0,56.0,84.0,xception,2.0,112.0,42.0,1492903.0,36.0,32.14,8.0,6.0,19542546560.72,784.0,36.0
54,8760161600.0,3760542205.44,8594644614.56,HWCF_SchedulePDP_hwcf,1354.01,30.28,112.0,112.0,84.0,xception,2.0,56.0,42.0,1447769.9375,45.0,43.43,8.0,6.0,21115348419.999996,784.0,45.0
55,8597668800.0,3350760333.12,8764051442.08,HWCF_SchedulePDP_hwcf,1660.15,26.31,224.0,56.0,42.0,xception,2.0,112.0,84.0,1587571.90625,56.0,7.42,8.0,6.0,20712480575.2,784.0,56.0
56,12642075200.0,3563002605.12,10054457030.56,FCHW_SchedulePDP_hwcf,2236.8,61.61,224.0,56.0,84.0,xception,2.0,112.0,42.0,2187517.75,56.0,41.16,8.0,6.0,26259534835.679996,784.0,56.0
57,22369291200.0,7526624640.0,5198454134.4,FCHW_SchedulePDP_hwcf,1621.79,52.78,112.0,112.0,84.0,xception,2.0,56.0,42.0,3278791.9375,9.0,49.58,8.0,6.0,35094369974.4,784.0,9.0
58,12661321600.0,3724221059.52,8290635929.34,FCHW_SchedulePDP_hwcf,1831.57,64.41,224.0,56.0,42.0,xception,2.0,112.0,84.0,2260856.6875,27.0,14.49,8.0,6.0,24676178588.86,784.0,27.0
59,16018332800.0,3986717986.56,9133359772.06,FCHW_SchedulePDP_hwcf,1981.74,67.87,112.0,112.0,42.0,xception,2.0,56.0,84.0,2250288.53125,27.0,32.6,8.0,6.0,29138410558.62,784.0,27.0
60,16378497600.0,3708617122.56,10939184769.44,FCHW_SchedulePDP_hwcf,2151.79,76.34,112.0,112.0,84.0,xception,2.0,56.0,42.0,2101329.4375,45.0,49.95,8.0,6.0,31026299492.000004,784.0,45.0
61,18641016000.0,7317295749.12,5619652348.8,FCHW_SchedulePDP_hwcf,1610.09,43.27,224.0,56.0,84.0,xception,2.0,112.0,42.0,3563195.5,9.0,37.75,8.0,6.0,31577964097.92,784.0,9.0
62,16125699200.0,4138137288.96,7791514046.84,FCHW_SchedulePDP_hwcf,1748.94,66.21,112.0,112.0,42.0,xception,2.0,56.0,84.0,2298741.53125,18.0,32.94,8.0,6.0,28055350535.8,784.0,18.0
63,12401752800.0,3304170224.16,9791934043.76,FCHW_SchedulePDP_hwcf,2315.35,67.35,224.0,56.0,42.0,xception,2.0,112.0,84.0,2177079.6875,112.0,13.54,8.0,6.0,25497857067.920002,784.0,112.0
64,12454228800.0,3415724397.12,9800784782.24,FCHW_SchedulePDP_hwcf,2234.51,67.09,224.0,56.0,42.0,xception,2.0,112.0,84.0,2188651.6875,56.0,13.68,8.0,6.0,25670737979.359997,784.0,56.0
65,15819387200.0,3683270542.08,9145078467.78,FCHW_SchedulePDP_hwcf,2030.02,70.3,112.0,112.0,42.0,xception,2.0,56.0,84.0,2184400.53125,45.0,32.47,8.0,6.0,28647736209.86,784.0,45.0
66,16577443200.0,4012064567.04,10925148842.72,FCHW_SchedulePDP_hwcf,2090.35,73.87,112.0,112.0,84.0,xception,2.0,56.0,42.0,2155419.4375,27.0,49.88,8.0,6.0,31514656609.760002,784.0,27.0
67,12589599200.0,3451448432.16,10045606292.08,FCHW_SchedulePDP_hwcf,2317.65,61.82,224.0,56.0,84.0,xception,2.0,112.0,42.0,2176735.75,112.0,41.12,8.0,6.0,26086653924.24,784.0,112.0
68,15709567200.0,3558784917.12,10792887972.72,FCHW_SchedulePDP_hwcf,2315.35,74.76,112.0,112.0,84.0,xception,2.0,56.0,42.0,2079298.4375,112.0,49.84,8.0,6.0,30061240089.84,784.0,112.0
69,16370350400.0,3670110739.2,10940628917.92,FCHW_SchedulePDP_hwcf,2151.79,76.88,112.0,112.0,84.0,xception,2.0,56.0,42.0,2095317.4375,56.0,49.88,8.0,6.0,30981090057.12,784.0,56.0
70,15811240000.0,3644764158.72,9147675704.42,FCHW_SchedulePDP_hwcf,2030.02,70.76,112.0,112.0,42.0,xception,2.0,56.0,84.0,2178388.53125,56.0,32.28,8.0,6.0,28603679863.14,784.0,56.0
71,12667835200.0,3647775494.4,8157109981.36,FCHW_SchedulePDP_hwcf,1988.66,60.84,224.0,56.0,84.0,xception,2.0,112.0,42.0,2205090.75,36.0,41.15,8.0,6.0,24472720675.760002,784.0,36.0
72,12462376000.0,3451095743.04,8299431993.06,FCHW_SchedulePDP_hwcf,2015.76,66.61,224.0,56.0,42.0,xception,2.0,112.0,84.0,2196861.6875,45.0,13.91,8.0,6.0,24212903736.100002,784.0,45.0
73,16684809600.0,4163483869.44,6864968511.16,FCHW_SchedulePDP_hwcf,1794.05,72.12,112.0,112.0,84.0,xception,2.0,56.0,42.0,2196648.4375,18.0,50.07,8.0,6.0,27713261980.6,784.0,18.0
74,12768688000.0,3910277655.36,6600419266.0,FCHW_SchedulePDP_hwcf,1683.42,62.89,224.0,56.0,42.0,xception,2.0,112.0,84.0,2316183.3125,18.0,15.18,8.0,6.0,23279384921.36,784.0,18.0
75,15837000000.0,3727863022.08,9137142488.88,FCHW_SchedulePDP_hwcf,2030.02,69.92,112.0,112.0,42.0,xception,2.0,56.0,84.0,2193120.53125,36.0,32.5,8.0,6.0,28702005510.96,784.0,36.0
76,12650222400.0,3598373951.04,8166105405.38,FCHW_SchedulePDP_hwcf,2018.05,61.15,224.0,56.0,84.0,xception,2.0,112.0,42.0,2195727.75,45.0,41.19,8.0,6.0,24414701756.420002,784.0,45.0
77,12849168000.0,3871499267.52,8157309341.66,FCHW_SchedulePDP_hwcf,1944.77,59.28,224.0,56.0,84.0,xception,2.0,112.0,42.0,2255856.75,27.0,40.97,8.0,6.0,24877976609.18,784.0,27.0
78,18453169600.0,7170017541.12,6001702564.48,FCHW_SchedulePDP_hwcf,1597.29,44.3,224.0,56.0,42.0,xception,2.0,112.0,84.0,3757518.46875,9.0,17.39,8.0,6.0,31624889705.6,784.0,9.0
79,12956534400.0,4057555863.36,6872930083.32,FCHW_SchedulePDP_hwcf,1733.13,57.91,224.0,56.0,84.0,xception,2.0,112.0,42.0,2309089.375,18.0,41.04,8.0,6.0,23887020346.68,784.0,18.0
80,21810180800.0,7501278059.52,6453479870.08,FCHW_SchedulePDP_hwcf,1613.59,45.48,112.0,112.0,42.0,xception,2.0,56.0,84.0,3771092.03125,9.0,30.89,8.0,6.0,35764938729.600006,784.0,9.0
81,16396110400.0,3753209602.56,10929922046.72,FCHW_SchedulePDP_hwcf,2151.79,75.94,112.0,112.0,84.0,xception,2.0,56.0,42.0,2108775.4375,36.0,49.94,8.0,6.0,31079242049.280003,784.0,36.0
82,15150456800.0,3533438336.64,10980426054.0,FCHW_SchedulePDP_hwcf,2317.65,68.84,112.0,112.0,42.0,xception,2.0,56.0,84.0,2159689.53125,112.0,32.26,8.0,6.0,29664321190.64,784.0,112.0
83,12479988800.0,3500497286.4,8290436569.04,FCHW_SchedulePDP_hwcf,1862.29,66.26,224.0,56.0,42.0,xception,2.0,112.0,84.0,2206553.6875,36.0,14.01,8.0,6.0,24270922655.440002,784.0,36.0
84,9261256000.0,3644764158.72,7278999544.9,CFHW_SchedulePDP_hwcf,2030.02,30.97,112.0,112.0,42.0,xception,2.0,56.0,84.0,1580489.65625,56.0,21.12,8.0,6.0,20185019703.62,784.0,56.0
85,8956411200.0,3415724397.12,8824672352.16,CFHW_SchedulePDP_hwcf,2234.51,27.68,224.0,56.0,42.0,xception,2.0,112.0,84.0,1636377.46875,56.0,7.16,8.0,6.0,21196807949.28,784.0,56.0
86,18332121600.0,7317295749.12,5115691360.0,CFHW_SchedulePDP_hwcf,1610.09,36.55,224.0,56.0,84.0,xception,2.0,112.0,42.0,3275488.25,9.0,30.9,8.0,6.0,30765108709.12,784.0,9.0
87,9715491200.0,3871499267.52,7192023220.86,CFHW_SchedulePDP_hwcf,1944.77,31.54,224.0,56.0,84.0,xception,2.0,112.0,42.0,1642292.25,27.0,32.08,8.0,6.0,20779013688.38,784.0,27.0
88,9137051200.0,3500497286.4,7603418340.24,CFHW_SchedulePDP_hwcf,1862.29,28.02,224.0,56.0,42.0,xception,2.0,112.0,84.0,1667429.96875,36.0,7.68,8.0,6.0,20240966826.64,784.0,36.0
89,9581006400.0,3683270542.08,7323502404.26,CFHW_SchedulePDP_hwcf,2030.02,32.28,112.0,112.0,42.0,xception,2.0,56.0,84.0,1607265.65625,45.0,21.5,8.0,6.0,20587779346.34,784.0,45.0
90,21890643200.0,7526624640.0,4686107737.6,CFHW_SchedulePDP_hwcf,1621.79,49.66,112.0,112.0,84.0,xception,2.0,56.0,42.0,3028216.6875,9.0,43.76,8.0,6.0,34103375577.6,784.0,9.0
91,9119438400.0,3598373951.04,7140677108.58,CFHW_SchedulePDP_hwcf,2018.05,30.25,224.0,56.0,84.0,xception,2.0,112.0,42.0,1552496.4375,45.0,32.06,8.0,6.0,19858489459.62,784.0,45.0
92,10422742400.0,3986717986.56,7408649340.54,CFHW_SchedulePDP_hwcf,1981.74,34.59,112.0,112.0,42.0,xception,2.0,56.0,84.0,1717316.75,27.0,21.94,8.0,6.0,21818109727.100002,784.0,27.0
93,9600232000.0,3753209602.56,8891810154.24,CFHW_SchedulePDP_hwcf,2151.79,34.06,112.0,112.0,84.0,xception,2.0,56.0,42.0,1533763.0625,36.0,43.49,8.0,6.0,22245251756.8,784.0,36.0
94,9600232000.0,3727863022.08,7315614809.36,CFHW_SchedulePDP_hwcf,2030.02,32.14,112.0,112.0,42.0,xception,2.0,56.0,84.0,1619016.65625,36.0,21.59,8.0,6.0,20643709831.440002,784.0,36.0
95,8956411200.0,3563002605.12,8725672294.56,CFHW_SchedulePDP_hwcf,2236.8,29.75,224.0,56.0,84.0,xception,2.0,112.0,42.0,1534964.9375,56.0,31.91,8.0,6.0,21245086099.679996,784.0,56.0
96,10577622400.0,4012064567.04,9067467409.12,CFHW_SchedulePDP_hwcf,2090.35,37.57,112.0,112.0,84.0,xception,2.0,56.0,42.0,1631314.1875,27.0,43.49,8.0,6.0,23657154376.160004,784.0,27.0
