wgt_rf_size,7056,7056,18,784,18,784,784,18,784,18,784,784,18,784,18,784,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,18,784,784,18,784,18,784
padd_ops,0,0,0,0,0,1520768,0,0,774400,0,1548800,774400,0,1141504,0,3424512,1141504,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,856128,0,1204224,1204224,0,677376,0,1304576
padd_cycles_max_per_batch,0,0,0,0,0,16,0,0,4,0,8,4,0,2,0,6,2,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,6,0,9,0,13
padd_util_cycles,0,0,0,0,0,40.19047619047619,0,0,17.65714285714286,0,52.971428571428575,17.65714285714286,0,34.125,0,238.875,34.125,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,238.875,0,346.74999999999994,346.74999999999994,0,1101.6964285714287,0,2949.7000000000003
padd_cycles,0,0,0,0,0,48,0,0,20,0,60,20,0,39,0,273,39,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,273,0,399,399,0,1260,0,3367
padd_units_available,112,112,0,112,0,112,112,0,112,0,112,112,0,112,0,112,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,112,0,112,0,112
total_padd_units,112,112,0,112,0,112,112,0,112,0,112,112,0,112,0,112,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,0,112,112,0,112,0,112
mac_util_cycles,5587,14747,511,18475,1022,4488,9999,293,2005,587,4142,1099,147,2775,413,4884,1501,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,1521,313,2194,1381,307,396,461,2719
total_mac_units,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784
cycles_max_per_batch,25396,12159,59,13001,59,26018,7115,59,6614,59,9923,3644,53,2564,53,5984,1388,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,43,1868,1182,39,1199,39,1679
dma_cycles,2386,12831,144,35771,288,134141,35771,72,57678,144,142274,57678,36,101010,102,525525,101010,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,157657,102,228497,228497,144,275533,216,707528
mac_units_available,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784
is_dma_cycle_selected,0,0,0,0,0,3,3,0,5,0,15,10,0,39,0,91,39,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,133,133,0,280,0,518
is_mac_cycle_selected,1,2,32,3,48,3,0,12,5,20,0,0,5,0,13,0,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,0,19,0,28,0
mac_cycles,25396,23646,1340,38443,2196,115329,20785,554,49323,986,98646,27048,242,66612,689,310856,36036,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,96824,559,140532,88396,725,181720,1076,460110
timing_cycles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cycles_total,25396,23646,1340,38443,2196,139533.25,35771.0,554,59818.75,986,142274.25,57678.75,242,101010.0,689,525525.0,101010.0,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,228497.5,228497.5,725,275533.0,1076,707528.25
global_cycles,25396,23646,1340,38443,2196,139533.25,35771.0,554,59818.75,986,142274.25,57678.75,242,101010.0,689,525525.0,101010.0,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,157657.5,559,228497.5,228497.5,725,275533.0,1076,707528.25
-hx-wx-cx-mac_wx-mac_wx_type-mac_cx-hxx-wxx-cxx-fx-mac_wxx-mac_wxx_type-mac_cxx-mac_fx-dma_cycles-hxx2-wxx2-cxx2-fx2-mac_wxx2-mac_wxx2_type-mac_cxx2-mac_fx2,36,36,56,16,7,0,36,36,112,56,16,7,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
